   1.0000000e+00  -9.3849071e+00   8.2562143e+01   4.7530507e+00   4.1358399e+00   2.2055732e+02   2.6630189e+02   8.4325714e+00   1.9764346e+02   0.0000000e+00  -9.3849071e+00
   2.0000000e+00  -9.1898611e+00   9.4965972e+01   2.2888587e+00   2.2418275e+00   2.7319317e+02   2.7353357e+02   2.1205208e+00   2.5837021e+02   0.0000000e+00  -9.1898611e+00
   3.0000000e+00  -8.4174375e+00   9.1456250e+01   7.5354045e+00   4.3697073e+00   2.6830193e+02   2.7480328e+02   5.3334028e+00   2.7477385e+02   0.0000000e+00  -8.4174375e+00
   4.0000000e+00  -1.0832674e+01   9.2669444e+01   1.4761002e+00   2.0927769e+00   2.6006298e+02   2.6417794e+02   3.4186597e+00   2.5590402e+02   0.0000000e+00  -1.0832674e+01
   5.0000000e+00  -8.0987083e+00   9.0180556e+01   2.5046033e+00   2.9384982e+00   2.5708568e+02   2.7525829e+02   6.4658611e+00   2.5925706e+02   0.0000000e+00  -8.0987083e+00
   6.0000000e+00  -4.3132639e+00   8.7185069e+01   7.6103068e+00   5.6497400e+00   2.6341465e+02   2.8625017e+02   5.9696458e+00   1.6447830e+02   0.0000000e+00  -4.3132639e+00
   7.0000000e+00  -7.0114097e+00   9.3827083e+01   4.4437550e+00   3.4346920e+00   2.5949813e+02   2.7898710e+02   5.5817361e+00   2.5753701e+02   0.0000000e+00  -7.0114097e+00
   8.0000000e+00  -1.2783125e+00   9.0790278e+01   3.1952559e+00   2.8077746e+00   2.7291042e+02   3.0401967e+02   1.1090882e+01   1.4348386e+02   6.3777778e-01  -1.9160903e+00
   9.0000000e+00  -5.3835764e+00   9.3855556e+01   2.8620734e+00   3.1651011e+00   2.2856354e+02   2.8572055e+02   1.4638750e+01   2.0488359e+02   0.0000000e+00  -5.3835764e+00
   1.0000000e+01  -9.3540694e+00   9.3701389e+01   3.4355826e+00   3.4872961e+00   2.0875863e+02   2.7070997e+02   1.8226528e+01   2.4048892e+02   0.0000000e+00  -9.3540694e+00
